ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
8,2001,1,1,4.2,,1.0,2.3,,59.0,53.0,143.0,21.0,20.0,,11.0,,10.2
8,2001,1,2,4.7,,1.0,2.5,,75.0,65.0,179.0,25.0,28.0,,10.0,,11.5
8,2001,1,3,5.0,,1.0,3.0,,86.0,69.0,201.0,17.0,34.0,,11.0,,14.2
8,2001,1,4,5.7,,0.9,3.3,,99.0,71.0,223.0,18.0,37.0,,12.0,,14.8
8,2001,1,5,6.1,,1.2,4.1,,112.0,63.0,235.0,11.0,31.0,,10.0,,17.9
8,2001,1,6,3.7,,0.9,2.2,,59.0,67.0,157.0,21.0,17.0,,14.0,,9.9
8,2001,1,7,3.8,,0.9,2.2,,56.0,70.0,155.0,18.0,20.0,,21.0,,10.0
8,2001,1,8,6.6,,1.3,3.8,,146.0,94.0,318.0,14.0,37.0,,19.0,,18.2
8,2001,1,9,6.2,,1.3,4.1,,129.0,85.0,283.0,7.0,40.0,,27.0,,21.6
8,2001,1,10,8.2,,1.6,5.3,,183.0,67.0,347.0,8.0,48.0,,21.0,,25.9
8,2001,1,11,5.0,,1.0,3.2,,95.0,58.0,204.0,16.0,30.0,,10.0,,14.6
8,2001,1,12,7.2,,1.5,4.2,,102.0,77.0,234.0,11.0,31.0,,41.0,,21.6
8,2001,1,13,7.4,,1.6,4.3,,141.0,87.0,304.0,9.0,48.0,,43.0,,23.2
8,2001,1,14,9.5,,1.8,5.4,,184.0,73.0,354.0,11.0,50.0,,28.0,,25.6
8,2001,1,15,7.7,,1.4,4.5,,146.0,63.0,286.0,8.0,50.0,,19.0,,22.0
8,2001,1,16,5.8,,1.1,3.3,,100.0,58.0,211.0,13.0,34.0,,12.0,,15.4
8,2001,1,17,5.7,,1.1,3.3,,100.0,60.0,215.0,14.0,38.0,,13.0,,15.3
8,2001,1,18,5.4,,1.1,3.2,,104.0,66.0,225.0,13.0,29.0,,11.0,,14.9
8,2001,1,19,7.1,,1.5,4.1,,133.0,82.0,285.0,11.0,43.0,,26.0,,19.7
8,2001,1,20,6.7,,1.7,4.4,,190.0,95.0,386.0,10.0,55.0,,28.0,,21.7
8,2001,1,21,0.0,,1.9,1.0,,199.0,82.0,387.0,11.0,56.0,,30.0,,0.0
8,2001,1,22,0.0,,1.8,3.6,,196.0,78.0,378.0,7.0,66.0,,25.0,,0.0
8,2001,1,23,5.9,,1.1,3.6,,97.0,49.0,198.0,14.0,26.0,,11.0,,16.2
8,2001,1,24,3.7,,1.0,2.5,,79.0,44.0,166.0,20.0,25.0,,12.0,,11.9
8,2001,1,25,3.8,,0.9,2.3,,76.0,61.0,177.0,26.0,27.0,,10.0,,12.4
8,2001,1,26,4.4,,1.1,3.0,,87.0,66.0,199.0,18.0,23.0,,8.0,,14.9
8,2001,1,27,4.0,,1.2,2.7,,89.0,63.0,200.0,14.0,25.0,,12.0,,13.8
8,2001,1,28,2.4,,0.7,1.5,,39.0,52.0,112.0,30.0,13.0,,14.0,,7.3
8,2001,1,29,4.7,,1.1,2.9,,70.0,71.0,178.0,25.0,24.0,,36.0,,13.5
8,2001,1,30,8.5,,2.1,5.2,,245.0,122.0,499.0,9.0,67.0,,38.0,,28.6
8,2001,1,31,8.4,,2.3,5.2,,253.0,89.0,477.0,10.0,75.0,,45.0,,23.5
8,2001,2,1,8.7,,1.7,5.6,,164.0,81.0,332.0,11.0,48.0,,43.0,,25.6
8,2001,2,2,11.4,,2.1,9.5,,273.0,91.0,509.0,9.0,74.0,,33.0,,32.1
8,2001,2,3,9.5,,1.8,5.5,,177.0,83.0,354.0,10.0,60.0,,33.0,,25.5
8,2001,2,4,5.4,,1.0,3.1,,94.0,55.0,198.0,15.0,37.0,,14.0,,13.6
8,2001,2,5,7.4,,1.3,4.6,,139.0,58.0,270.0,15.0,45.0,,12.0,,19.8
8,2001,2,6,5.1,,0.8,3.1,,73.0,54.0,165.0,16.0,37.0,,13.0,,12.4
8,2001,2,7,5.0,,0.9,3.2,,81.0,54.0,179.0,22.0,28.0,,9.0,,12.9
8,2001,2,8,2.8,,1.2,2.1,,107.0,65.0,228.0,21.0,29.0,,14.0,,8.7
8,2001,2,9,5.5,,1.2,3.3,,113.0,66.0,239.0,16.0,45.0,,15.0,,12.9
8,2001,2,10,5.1,,1.2,3.0,,109.0,41.0,208.0,14.0,42.0,,13.0,,12.3
8,2001,2,11,10.8,,2.1,5.5,,209.0,34.0,354.0,13.0,54.0,,32.0,,24.5
8,2001,2,12,9.8,,2.0,5.5,,183.0,59.0,339.0,9.0,66.0,,36.0,,24.6
8,2001,2,13,9.4,,1.7,5.2,,173.0,60.0,325.0,9.0,60.0,,33.0,,25.0
8,2001,2,14,4.7,,1.1,2.8,,68.0,56.0,161.0,16.0,30.0,,29.0,,14.2
8,2001,2,15,4.3,,1.1,2.7,,60.0,54.0,146.0,20.0,28.0,,28.0,,13.0
8,2001,2,16,5.3,,1.2,3.2,,74.0,73.0,187.0,21.0,35.0,,38.0,,15.9
8,2001,2,17,5.4,,1.3,3.1,,85.0,91.0,221.0,17.0,42.0,,33.0,,13.8
8,2001,2,18,4.7,,1.2,2.6,,99.0,58.0,209.0,22.0,33.0,,30.0,,12.2
8,2001,2,19,5.3,,1.2,3.2,,81.0,58.0,182.0,24.0,37.0,,30.0,,15.1
8,2001,2,20,9.3,,1.6,5.1,,123.0,75.0,264.0,18.0,47.0,,49.0,,24.7
8,2001,2,21,12.9,,2.2,7.1,,225.0,101.0,446.0,14.0,77.0,,40.0,,31.5
8,2001,2,22,17.2,,2.6,10.2,,300.0,105.0,565.0,9.0,101.0,,43.0,,43.7
8,2001,2,23,16.2,,2.5,10.9,,282.0,74.0,506.0,9.0,111.0,,38.0,,43.4
8,2001,2,24,5.0,,1.0,3.3,,59.0,49.0,139.0,21.0,30.0,,28.0,,14.4
8,2001,2,25,2.8,,0.7,1.6,,24.0,46.0,82.0,36.0,10.0,,29.0,,7.0
8,2001,2,26,6.4,,1.2,3.7,,96.0,56.0,203.0,23.0,37.0,,18.0,,15.1
8,2001,2,27,5.2,,1.0,2.9,,53.0,35.0,116.0,24.0,39.0,,17.0,,12.3
8,2001,2,28,5.5,,1.0,3.1,,70.0,57.0,164.0,27.0,30.0,,20.0,,14.8
8,2001,3,1,7.3,,1.4,4.6,,144.0,62.0,283.0,16.0,37.0,,13.0,,18.9
8,2001,3,2,5.9,,1.1,3.8,,82.0,48.0,174.0,19.0,20.0,,12.0,,15.6
8,2001,3,3,4.2,,0.8,2.4,,52.0,43.0,123.0,30.0,17.0,,9.0,,9.4
