ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
11,2001,1,1,,,,,,46.0,45.0,115.0,,,,,,
11,2001,1,2,,,,,,15.0,34.0,56.0,,,,,,
11,2001,1,3,,,,,,22.0,43.0,77.0,,,,,,
11,2001,1,4,,,,,,20.0,40.0,70.0,,,,,,
11,2001,1,5,,,,,,80.0,43.0,166.0,,,,,,
11,2001,1,6,,,,,,30.0,37.0,84.0,,,,,,
11,2001,1,7,,,,,,48.0,44.0,118.0,,,,,,
11,2001,1,8,,,,,,120.0,58.0,242.0,,,,,,
11,2001,1,9,,,,,,99.0,58.0,209.0,,,,,,
11,2001,1,10,,,,,,159.0,43.0,287.0,,,,,,
11,2001,1,11,,,,,,84.0,46.0,176.0,,,,,,
11,2001,1,12,,,,,,67.0,49.0,153.0,,,,,,
11,2001,1,13,,,,,,83.0,58.0,185.0,,,,,,
11,2001,1,14,,,,,,107.0,60.0,224.0,,,,,,
11,2001,1,15,,,,,,80.0,43.0,165.0,,,,,,
11,2001,1,16,,,,,,28.0,36.0,80.0,,,,,,
11,2001,1,17,,,,,,45.0,42.0,112.0,,,,,,
11,2001,1,18,,,,,,65.0,46.0,145.0,,,,,,
11,2001,1,19,,,,,,96.0,54.0,202.0,,,,,,
11,2001,1,20,,,,,,114.0,58.0,232.0,,,,,,
11,2001,1,21,,,,,,150.0,49.0,278.0,,,,,,
11,2001,1,22,,,,,,107.0,53.0,217.0,,,,,,
11,2001,1,23,,,,,,26.0,38.0,78.0,,,,,,
11,2001,1,24,,,,,,31.0,36.0,83.0,,,,,,
11,2001,1,25,,,,,,19.0,32.0,61.0,,,,,,
11,2001,1,26,,,,,,20.0,36.0,67.0,,,,,,
11,2001,1,27,,,,,,30.0,38.0,84.0,,,,,,
11,2001,1,28,,,,,,23.0,25.0,60.0,,,,,,
11,2001,1,29,,,,,,64.0,48.0,145.0,,,,,,
11,2001,1,30,,,,,,200.0,73.0,378.0,,,,,,
11,2001,1,31,,,,,,162.0,46.0,294.0,,,,,,
11,2001,2,1,,,,,,101.0,47.0,202.0,,,,,,
11,2001,2,2,,,,,,184.0,56.0,337.0,,,,,,
11,2001,2,3,,,,,,67.0,54.0,156.0,,,,,,
11,2001,2,4,,,,,,32.0,35.0,84.0,,,,,,
11,2001,2,5,,,,,,76.0,39.0,156.0,,,,,,
11,2001,2,6,,,,,,81.0,41.0,164.0,,,,,,
11,2001,2,7,,,,,,51.0,41.0,119.0,,,,,,
11,2001,2,8,,,,,,41.0,38.0,101.0,,,,,,
11,2001,2,9,,,,,,39.0,36.0,96.0,,,,,,
11,2001,2,10,,,,,,75.0,33.0,148.0,,,,,,
11,2001,2,11,,,,,,204.0,28.0,340.0,,,,,,
11,2001,2,12,,,,,,102.0,57.0,213.0,,,,,,
11,2001,2,13,,,,,,88.0,55.0,190.0,,,,,,
11,2001,2,14,,,,,,30.0,40.0,85.0,,,,,,
11,2001,2,15,,,,,,15.0,35.0,58.0,,,,,,
11,2001,2,16,,,,,,20.0,44.0,75.0,,,,,,
11,2001,2,17,,,,,,39.0,67.0,127.0,,,,,,
11,2001,2,18,,,,,,40.0,44.0,106.0,,,,,,
11,2001,2,19,,,,,,29.0,42.0,87.0,,,,,,
11,2001,2,20,,,,,,78.0,62.0,181.0,,,,,,
11,2001,2,21,,,,,,110.0,89.0,258.0,,,,,,
11,2001,2,22,,,,,,137.0,98.0,308.0,,,,,,
11,2001,2,23,,,,,,150.0,88.0,318.0,,,,,,
11,2001,2,24,,,,,,43.0,38.0,103.0,,,,,,
11,2001,2,25,,,,,,11.0,25.0,41.0,,,,,,
11,2001,2,26,,,,,,58.0,56.0,145.0,,,,,,
11,2001,2,27,,,,,,33.0,43.0,94.0,,,,,,
11,2001,2,28,,,,,,47.0,47.0,120.0,,,,,,
11,2001,3,1,,,,,,77.0,53.0,171.0,,,,,,
11,2001,3,2,,,,,,40.0,44.0,105.0,,,,,,
11,2001,3,3,,,,,,7.0,31.0,42.0,,,,,,
11,2001,3,4,,,,,,21.0,43.0,76.0,,,,,,
11,2001,3,5,,,,,,47.0,49.0,121.0,,,,,,
11,2001,3,6,,,,,,62.0,46.0,140.0,,,,,,
11,2001,3,7,,,,,,44.0,55.0,122.0,,,,,,
11,2001,3,8,,,,,,11.0,32.0,48.0,,,,,,
11,2001,3,9,,,,,,15.0,30.0,53.0,,,,,,
11,2001,3,10,,,,,,9.0,18.0,32.0,,,,,,
11,2001,3,11,,,,,,11.0,18.0,36.0,,,,,,
11,2001,3,12,,,,,,27.0,28.0,69.0,,,,,,
11,2001,3,13,,,,,,18.0,31.0,59.0,,,,,,
11,2001,3,14,,,,,,20.0,36.0,67.0,,,,,,
11,2001,3,15,,,,,,14.0,23.0,45.0,,,,,,
11,2001,3,16,,,,,,10.0,19.0,34.0,,,,,,
11,2001,3,17,,,,,,4.0,10.0,16.0,,,,,,
11,2001,3,18,,,,,,3.0,8.0,12.0,,,,,,
11,2001,3,19,,,,,,6.0,11.0,21.0,,,,,,
11,2001,3,20,,,,,,22.0,24.0,57.0,,,,,,
11,2001,3,21,,,,,,20.0,27.0,57.0,,,,,,
11,2001,3,22,,,,,,67.0,31.0,133.0,,,,,,
11,2001,3,23,,,,,,129.0,59.0,257.0,,,,,,
11,2001,3,24,,,,,,15.0,28.0,51.0,,,,,,
11,2001,3,25,,,,,,8.0,22.0,35.0,,,,,,
11,2001,3,26,,,,,,58.0,48.0,137.0,,,,,,
11,2001,3,27,,,,,,49.0,47.0,122.0,,,,,,
11,2001,3,28,,,,,,42.0,43.0,107.0,,,,,,
11,2001,3,29,,,,,,34.0,36.0,89.0,,,,,,
11,2001,3,30,,,,,,60.0,31.0,123.0,,,,,,
11,2001,3,31,,,,,,40.0,34.0,96.0,,,,,,
11,2001,4,1,,,,,,16.0,40.0,65.0,,,,,,
11,2001,4,2,,,,,,47.0,55.0,127.0,,,,,,
11,2001,4,3,,,,,,28.0,43.0,86.0,,,,,,
11,2001,4,4,,,,,,36.0,39.0,94.0,,,,,,
11,2001,4,5,,,,,,32.0,28.0,77.0,,,,,,
11,2001,4,6,,,,,,102.0,31.0,188.0,,,,,,
11,2001,4,7,,,,,,23.0,24.0,60.0,,,,,,
11,2001,4,8,,,,,,13.0,22.0,41.0,,,,,,
11,2001,4,9,,,,,,70.0,44.0,151.0,,,,,,
11,2001,4,10,,,,,,46.0,41.0,112.0,,,,,,
11,2001,4,11,,,,,,15.0,30.0,53.0,,,,,,
11,2001,4,12,,,,,,6.0,14.0,24.0,,,,,,
11,2001,4,13,,,,,,3.0,10.0,14.0,,,,,,
11,2001,4,14,,,,,,4.0,14.0,20.0,,,,,,
11,2001,4,15,,,,,,15.0,34.0,57.0,,,,,,
11,2001,4,16,,,,,,81.0,52.0,176.0,,,,,,
11,2001,4,17,,,,,,32.0,37.0,87.0,,,,,,
11,2001,4,18,,,,,,31.0,37.0,84.0,,,,,,
11,2001,4,19,,,,,,44.0,45.0,113.0,,,,,,
11,2001,4,20,,,,,,18.0,31.0,59.0,,,,,,
11,2001,4,21,,,,,,26.0,40.0,79.0,,,,,,
11,2001,4,22,,,,,,27.0,36.0,77.0,,,,,,
11,2001,4,23,,,,,,20.0,21.0,52.0,,,,,,
11,2001,4,24,,,,,,20.0,27.0,58.0,,,,,,
11,2001,4,25,,,,,,46.0,45.0,116.0,,,,,,
11,2001,4,26,,,,,,40.0,61.0,122.0,,,,,,
11,2001,4,27,,,,,,54.0,65.0,148.0,,,,,,
11,2001,4,28,,,,,,22.0,49.0,83.0,,,,,,
11,2001,4,29,,,,,,49.0,58.0,133.0,,,,,,
11,2001,4,30,,,,,,30.0,36.0,82.0,,,,,,
11,2001,5,1,,,,,,22.0,32.0,65.0,,,,,,
11,2001,5,2,,,,,,28.0,51.0,94.0,,,,,,
11,2001,5,3,,,,,,49.0,55.0,129.0,,,,,,
11,2001,5,4,,,,,,37.0,49.0,106.0,,,,,,
11,2001,5,5,,,,,,24.0,49.0,85.0,,,,,,
11,2001,5,6,,,,,,12.0,27.0,45.0,,,,,,
11,2001,5,7,,,,,,21.0,49.0,80.0,,,,,,
