ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
35,2001,1,1,,,0.6,,,27.0,43.0,84.0,26.0,,,22.0,,
35,2001,1,2,,,0.4,,,12.0,38.0,56.0,44.0,,,23.0,,
35,2001,1,3,,,0.5,,,17.0,47.0,74.0,29.0,,,23.0,,
35,2001,1,4,,,0.5,,,20.0,46.0,77.0,29.0,,,25.0,,
35,2001,1,5,,,0.7,,,43.0,46.0,113.0,11.0,,,27.0,,
35,2001,1,6,,,0.5,,,16.0,42.0,65.0,35.0,,,22.0,,
35,2001,1,7,,,0.6,,,20.0,51.0,81.0,28.0,,,25.0,,
35,2001,1,8,,,0.8,,,68.0,75.0,179.0,23.0,,,37.0,,
35,2001,1,9,,,1.0,,,85.0,79.0,209.0,7.0,,,49.0,,
35,2001,1,10,,,1.4,,,125.0,66.0,257.0,7.0,,,53.0,,
35,2001,1,11,,,0.7,,,32.0,53.0,102.0,19.0,,,30.0,,
35,2001,1,12,,,1.4,,,92.0,74.0,214.0,12.0,,,41.0,,
35,2001,1,13,,,1.8,,,103.0,83.0,241.0,8.0,,,60.0,,
35,2001,1,14,,,1.5,,,115.0,73.0,248.0,14.0,,,51.0,,
35,2001,1,15,,,1.0,,,85.0,59.0,190.0,9.0,,,41.0,,
35,2001,1,16,,,0.5,,,19.0,42.0,71.0,23.0,,,26.0,,
35,2001,1,17,,,0.5,,,20.0,43.0,74.0,27.0,,,24.0,,
35,2001,1,18,,,0.5,,,27.0,52.0,95.0,23.0,,,26.0,,
35,2001,1,19,,,0.7,,,43.0,64.0,130.0,19.0,,,36.0,,
35,2001,1,20,,,1.5,,,116.0,91.0,270.0,14.0,,,53.0,,
35,2001,1,21,,,1.7,,,149.0,81.0,310.0,14.0,,,62.0,,
35,2001,1,22,,,1.3,,,119.0,79.0,262.0,8.0,,,53.0,,
35,2001,1,23,,,0.4,,,17.0,40.0,67.0,25.0,,,26.0,,
35,2001,1,24,,,0.4,,,14.0,34.0,55.0,35.0,,,25.0,,
35,2001,1,25,,,0.3,,,10.0,34.0,50.0,46.0,,,21.0,,
35,2001,1,26,,,0.4,,,14.0,38.0,59.0,34.0,,,18.0,,
35,2001,1,27,,,0.8,,,25.0,48.0,86.0,22.0,,,28.0,,
35,2001,1,28,,,0.4,,,6.0,18.0,26.0,48.0,,,20.0,,
35,2001,1,29,,,0.8,,,44.0,52.0,119.0,31.0,,,36.0,,
35,2001,1,30,,,1.2,,,101.0,105.0,260.0,10.0,,,56.0,,
35,2001,1,31,,,1.2,,,98.0,76.0,227.0,15.0,,,55.0,,
35,2001,2,1,,,1.2,,,85.0,76.0,206.0,11.0,,,44.0,,
35,2001,2,2,,,1.6,,,146.0,89.0,313.0,10.0,,,61.0,,
35,2001,2,3,,,1.6,,,127.0,84.0,278.0,12.0,,,56.0,,
35,2001,2,4,,,0.7,,,39.0,47.0,107.0,21.0,,,30.0,,
35,2001,2,5,,,0.7,,,41.0,54.0,117.0,20.0,,,27.0,,
35,2001,2,6,,,0.5,,,24.0,50.0,88.0,18.0,,,32.0,,
35,2001,2,7,,,0.5,,,23.0,48.0,83.0,29.0,,,27.0,,
35,2001,2,8,,,0.5,,,19.0,48.0,77.0,33.0,,,23.0,,
35,2001,2,9,,,0.5,,,22.0,50.0,84.0,27.0,,,24.0,,
35,2001,2,10,,,0.9,,,51.0,42.0,120.0,21.0,,,28.0,,
35,2001,2,11,,,2.2,,,170.0,58.0,318.0,13.0,,,56.0,,
35,2001,2,12,,,1.6,,,130.0,84.0,283.0,9.0,,,59.0,,
35,2001,2,13,,,1.4,,,125.0,77.0,269.0,12.0,,,54.0,,
35,2001,2,14,,,0.8,,,46.0,65.0,136.0,19.0,,,30.0,,
35,2001,2,15,,,0.7,,,30.0,57.0,104.0,25.0,,,28.0,,
35,2001,2,16,,,0.9,,,41.0,79.0,143.0,26.0,,,36.0,,
35,2001,2,17,,,1.2,,,65.0,99.0,199.0,20.0,,,49.0,,
35,2001,2,18,,,1.1,,,63.0,71.0,168.0,24.0,,,34.0,,
35,2001,2,19,,,0.8,,,39.0,69.0,128.0,29.0,,,31.0,,
35,2001,2,20,,,1.6,,,116.0,110.0,288.0,18.0,,,58.0,,
35,2001,2,21,,,1.7,,,147.0,132.0,358.0,12.0,,,67.0,,
35,2001,2,22,,,1.7,,,139.0,123.0,336.0,12.0,,,75.0,,
35,2001,2,23,,,1.6,,,147.0,114.0,339.0,11.0,,,68.0,,
35,2001,2,24,,,0.9,,,48.0,62.0,136.0,23.0,,,32.0,,
35,2001,2,25,,,0.6,,,16.0,52.0,77.0,40.0,,,24.0,,
35,2001,2,26,,,0.7,,,34.0,66.0,119.0,33.0,,,36.0,,
35,2001,2,27,,,0.5,,,16.0,51.0,76.0,37.0,,,25.0,,
35,2001,2,28,,,0.5,,,17.0,52.0,79.0,40.0,,,26.0,,
35,2001,3,1,,,0.8,,,47.0,66.0,138.0,23.0,,,28.0,,
35,2001,3,2,,,0.6,,,28.0,45.0,87.0,30.0,,,26.0,,
35,2001,3,3,,,0.4,,,8.0,30.0,42.0,51.0,,,21.0,,
35,2001,3,4,,,0.5,,,11.0,35.0,51.0,41.0,,,17.0,,
