ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
39,2001,1,1,,,0.8,,,30.0,46.0,91.0,18.0,,,,,
39,2001,1,2,,,0.7,,,28.0,38.0,81.0,37.0,,,,,
39,2001,1,3,,,0.8,,,35.0,45.0,100.0,23.0,,,,,
39,2001,1,4,,,0.8,,,37.0,42.0,99.0,26.0,,,,,
39,2001,1,5,,,1.2,,,72.0,43.0,154.0,7.0,,,,,
39,2001,1,6,,,0.7,,,22.0,34.0,68.0,32.0,,,,,
39,2001,1,7,,,0.7,,,26.0,39.0,79.0,29.0,,,,,
39,2001,1,8,,,1.3,,,100.0,66.0,219.0,17.0,,,,,
39,2001,1,9,,,1.1,,,99.0,66.0,218.0,2.0,,,,,
39,2001,1,10,,,1.5,,,149.0,58.0,287.0,3.0,,,,,
39,2001,1,11,,,0.9,,,59.0,59.0,149.0,14.0,,,,,
39,2001,1,12,,,0.9,,,40.0,56.0,118.0,15.0,,,,,
39,2001,1,13,,,1.6,,,102.0,62.0,218.0,11.0,,,,,
39,2001,1,14,,,1.7,,,129.0,69.0,268.0,8.0,,,,,
39,2001,1,15,,,1.1,,,76.0,58.0,175.0,5.0,,,,,
39,2001,1,16,,,0.8,,,35.0,46.0,100.0,17.0,,,,,
39,2001,1,17,,,0.8,,,42.0,49.0,113.0,19.0,,,,,
39,2001,1,18,,,0.8,,,46.0,57.0,127.0,17.0,,,,,
39,2001,1,19,,,1.2,,,74.0,61.0,174.0,14.0,,,,,
39,2001,1,20,,,2.5,,,216.0,76.0,408.0,7.0,,,,,
39,2001,1,21,,,2.6,,,230.0,63.0,416.0,7.0,,,,,
39,2001,1,22,,,1.7,,,153.0,57.0,292.0,4.0,,,,,
39,2001,1,23,,,0.6,,,29.0,31.0,75.0,22.0,,,,,
39,2001,1,24,,,0.6,,,27.0,30.0,72.0,29.0,,,,,
39,2001,1,25,,,0.6,,,26.0,32.0,71.0,37.0,,,,,
39,2001,1,26,,,0.7,,,29.0,28.0,73.0,30.0,,,,,
39,2001,1,27,,,0.8,,,35.0,26.0,79.0,27.0,,,,,
39,2001,1,28,,,0.5,,,11.0,16.0,32.0,52.0,,,,,
39,2001,1,29,,,0.7,,,33.0,29.0,79.0,38.0,,,,,
39,2001,1,30,,,2.0,,,173.0,56.0,321.0,5.0,,,,,
39,2001,1,31,,,1.7,,,150.0,31.0,261.0,15.0,,,,,
39,2001,2,1,,,1.4,,,104.0,30.0,190.0,13.0,,,,,
