ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
36,2001,1,1,,,0.8,,,21.0,48.0,81.0,,14.0,,10.0,,
36,2001,1,2,,,0.4,,,10.0,40.0,56.0,,13.0,,8.0,,
36,2001,1,3,,,0.6,,,21.0,50.0,83.0,,20.0,,9.0,,
36,2001,1,4,,,0.5,,,17.0,48.0,74.0,,18.0,,8.0,,
36,2001,1,5,,,0.7,,,29.0,45.0,89.0,,14.0,,7.0,,
36,2001,1,6,,,0.5,,,14.0,43.0,65.0,,8.0,,11.0,,
36,2001,1,7,,,0.6,,,18.0,55.0,84.0,,11.0,,15.0,,
36,2001,1,8,,,1.2,,,92.0,76.0,217.0,,37.0,,22.0,,
36,2001,1,9,,,1.2,,,96.0,80.0,227.0,,36.0,,26.0,,
36,2001,1,10,,,1.2,,,76.0,67.0,184.0,,32.0,,14.0,,
36,2001,1,11,,,0.7,,,26.0,53.0,93.0,,16.0,,12.0,,
36,2001,1,12,,,1.2,,,59.0,69.0,159.0,,23.0,,24.0,,
36,2001,1,13,,,1.3,,,66.0,78.0,179.0,,36.0,,27.0,,
36,2001,1,14,,,1.4,,,89.0,74.0,211.0,,37.0,,19.0,,
36,2001,1,15,,,1.1,,,69.0,58.0,163.0,,35.0,,16.0,,
36,2001,1,16,,,0.6,,,23.0,50.0,85.0,,20.0,,11.0,,
36,2001,1,17,,,0.7,,,36.0,54.0,109.0,,23.0,,12.0,,
36,2001,1,18,,,0.6,,,22.0,56.0,89.0,,15.0,,11.0,,
36,2001,1,19,,,1.3,,,78.0,71.0,191.0,,32.0,,21.0,,
36,2001,1,20,,,1.5,,,108.0,79.0,245.0,,42.0,,21.0,,
36,2001,1,21,,,1.7,,,120.0,71.0,255.0,,43.0,,18.0,,
36,2001,1,22,,,1.5,,,125.0,69.0,261.0,,50.0,,19.0,,
36,2001,1,23,,,0.5,,,17.0,44.0,70.0,,11.0,,10.0,,
36,2001,1,24,,,0.5,,,18.0,43.0,70.0,,13.0,,10.0,,
36,2001,1,25,,,0.4,,,11.0,41.0,59.0,,13.0,,9.0,,
36,2001,1,26,,,0.5,,,19.0,43.0,72.0,,11.0,,8.0,,
36,2001,1,27,,,0.7,,,25.0,52.0,90.0,,13.0,,11.0,,
36,2001,1,28,,,0.4,,,8.0,33.0,45.0,,9.0,,13.0,,
36,2001,1,29,,,0.5,,,22.0,50.0,84.0,,17.0,,21.0,,
36,2001,1,30,,,1.7,,,159.0,99.0,342.0,,62.0,,30.0,,
36,2001,1,31,,,1.8,,,158.0,78.0,321.0,,60.0,,33.0,,
36,2001,2,1,,,1.4,,,101.0,61.0,216.0,,36.0,,31.0,,
36,2001,2,2,,,2.1,,,192.0,82.0,376.0,,61.0,,29.0,,
36,2001,2,3,,,1.3,,,96.0,70.0,218.0,,42.0,,21.0,,
36,2001,2,4,,,0.6,,,22.0,45.0,80.0,,23.0,,13.0,,
36,2001,2,5,,,0.7,,,44.0,57.0,124.0,,24.0,,12.0,,
36,2001,2,6,,,0.5,,,20.0,47.0,78.0,,21.0,,14.0,,
36,2001,2,7,,,0.7,,,31.0,48.0,96.0,,20.0,,11.0,,
36,2001,2,8,,,0.6,,,20.0,51.0,80.0,,12.0,,13.0,,
36,2001,2,9,,,0.7,,,36.0,55.0,109.0,,28.0,,13.0,,
36,2001,2,10,,,1.1,,,44.0,54.0,121.0,,30.0,,14.0,,
36,2001,2,11,,,1.3,,,69.0,61.0,167.0,,34.0,,15.0,,
36,2001,2,12,,,1.3,,,94.0,68.0,213.0,,58.0,,16.0,,
36,2001,2,13,,,1.0,,,77.0,69.0,187.0,,48.0,,21.0,,
36,2001,2,14,,,0.7,,,23.0,44.0,79.0,,22.0,,36.0,,
36,2001,2,15,,,0.6,,,12.0,37.0,55.0,,15.0,,39.0,,
36,2001,2,16,,,0.6,,,23.0,55.0,90.0,,23.0,,48.0,,
36,2001,2,17,,,0.8,,,32.0,74.0,123.0,,29.0,,26.0,,
36,2001,2,18,,,0.8,,,38.0,52.0,110.0,,24.0,,31.0,,
36,2001,2,19,,,0.8,,,42.0,52.0,116.0,,30.0,,30.0,,
