ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
50,2001,1,1,,,,,,,,,,,,,,
50,2001,1,2,,,,,,,,,,,,,,
50,2001,1,3,,,,,,,,,,,,,,
50,2001,1,4,,,,,,,,,,,,,,
50,2001,1,5,,,,,,,,,,,,,,
50,2001,1,6,,,,,,,,,,,,,,
50,2001,1,7,,,,,,,,,,,,,,
50,2001,1,8,,,,,,,,,,,,,,
50,2001,1,9,,,,,,,,,,,,,,
50,2001,1,10,,,,,,,,,,,,,,
50,2001,1,11,,,,,,,,,,,,,,
50,2001,1,12,,,,,,,,,,,,,,
50,2001,1,13,,,,,,,,,,,,,,
50,2001,1,14,,,,,,,,,,,,,,
50,2001,1,15,,,,,,,,,,,,,,
50,2001,1,16,,,,,,,,,,,,,,
50,2001,1,17,,,,,,,,,,,,,,
50,2001,1,18,,,,,,,,,,,,,,
50,2001,1,19,,,,,,,,,,,,,,
50,2001,1,20,,,,,,,,,,,,,,
50,2001,1,21,,,,,,,,,,,,,,
50,2001,1,22,,,,,,,,,,,,,,
50,2001,1,23,,,,,,,,,,,,,,
50,2001,1,24,,,,,,,,,,,,,,
50,2001,1,25,,,,,,,,,,,,,,
50,2001,1,26,,,,,,,,,,,,,,
50,2001,1,27,,,,,,,,,,,,,,
50,2001,1,28,,,,,,,,,,,,,,
50,2001,1,29,,,,,,,,,,,,,,
50,2001,1,30,,,,,,,,,,,,,,
50,2001,1,31,,,,,,,,,,,,,,
50,2001,2,1,,,,,,,,,,,,,,
50,2001,2,2,,,,,,,,,,,,,,
50,2001,2,3,,,,,,,,,,,,,,
50,2001,2,4,,,,,,,,,,,,,,
50,2001,2,5,,,,,,,,,,,,,,
50,2001,2,6,,,,,,,,,,,,,,
50,2001,2,7,,,,,,,,,,,,,,
50,2001,2,8,,,,,,,,,,,,,,
50,2001,2,9,,,,,,,,,,,,,,
50,2001,2,10,,,,,,,,,,,,,,
50,2001,2,11,,,,,,,,,,,,,,
50,2001,2,12,,,,,,,,,,,,,,
50,2001,2,13,,,,,,,,,,,,,,
50,2001,2,14,,,,,,,,,,,,,,
50,2001,2,15,,,,,,,,,,,,,,
50,2001,2,16,,,,,,,,,,,,,,
50,2001,2,17,,,,,,,,,,,,,,
50,2001,2,18,,,,,,,,,,,,,,
50,2001,2,19,,,,,,,,,,,,,,
50,2001,2,20,,,,,,,,,,,,,,
50,2001,2,21,,,,,,,,,,,,,,
50,2001,2,22,,,,,,,,,,,,,,
50,2001,2,23,,,,,,,,,,,,,,
50,2001,2,24,,,,,,,,,,,,,,
50,2001,2,25,,,,,,,,,,,,,,
50,2001,2,26,,,,,,,,,,,,,,
50,2001,2,27,,,,,,,,,,,,,,
50,2001,2,28,,,,,,,,,,,,,,
50,2001,3,1,,,,,,,,,,,,,,
50,2001,3,2,,,,,,,,,,,,,,
50,2001,3,3,,,,,,,,,,,,,,
50,2001,3,4,,,,,,,,,,,,,,
50,2001,3,5,,,,,,,,,,,,,,
50,2001,3,6,,,,,,,,,,,,,,
50,2001,3,7,,,,,,,,,,,,,,
50,2001,3,8,,,,,,,,,,,,,,
50,2001,3,9,,,,,,,,,,,,,,
50,2001,3,10,,,,,,,,,,,,,,
50,2001,3,11,,,,,,,,,,,,,,
50,2001,3,12,,,,,,,,,,,,,,
50,2001,3,13,,,,,,,,,,,,,,
50,2001,3,14,,,,,,,,,,,,,,
50,2001,3,15,,,,,,,,,,,,,,
50,2001,3,16,,,,,,,,,,,,,,
50,2001,3,17,,,,,,,,,,,,,,
50,2001,3,18,,,,,,,,,,,,,,
50,2001,3,19,,,,,,,,,,,,,,
50,2001,3,20,,,,,,,,,,,,,,
50,2001,3,21,,,,,,,,,,,,,,
50,2001,3,22,,,,,,,,,,,,,,
50,2001,3,23,,,,,,,,,,,,,,
50,2001,3,24,,,,,,,,,,,,,,
50,2001,3,25,,,,,,,,,,,,,,
50,2001,3,26,,,,,,,,,,,,,,
50,2001,3,27,,,,,,,,,,,,,,
50,2001,3,28,,,,,,,,,,,,,,
50,2001,3,29,,,,,,,,,,,,,,
50,2001,3,30,,,,,,,,,,,,,,
50,2001,3,31,,,,,,,,,,,,,,
50,2001,4,1,,,,,,,,,,,,,,
50,2001,4,2,,,,,,,,,,,,,,
50,2001,4,3,,,,,,,,,,,,,,
50,2001,4,4,,,,,,,,,,,,,,
50,2001,4,5,,,,,,,,,,,,,,
50,2001,4,6,,,,,,,,,,,,,,
50,2001,4,7,,,,,,,,,,,,,,
50,2001,4,8,,,,,,,,,,,,,,
50,2001,4,9,,,,,,,,,,,,,,
50,2001,4,10,,,,,,,,,,,,,,
50,2001,4,11,,,,,,,,,,,,,,
50,2001,4,12,,,,,,,,,,,,,,
50,2001,4,13,,,,,,,,,,,,,,
50,2001,4,14,,,,,,,,,,,,,,
50,2001,4,15,,,,,,,,,,,,,,
50,2001,4,16,,,,,,,,,,,,,,
50,2001,4,17,,,,,,,,,,,,,,
50,2001,4,18,,,,,,,,,,,,,,
50,2001,4,19,,,,,,,,,,,,,,
50,2001,4,20,,,,,,,,,,,,,,
50,2001,4,21,,,,,,,,,,,,,,
50,2001,4,22,,,,,,,,,,,,,,
50,2001,4,23,,,,,,,,,,,,,,
50,2001,4,24,,,,,,,,,,,,,,
50,2001,4,25,,,,,,,,,,,,,,
50,2001,4,26,,,,,,,,,,,,,,
50,2001,4,27,,,,,,,,,,,,,,
50,2001,4,28,,,,,,,,,,,,,,
50,2001,4,29,,,,,,,,,,,,,,
50,2001,4,30,,,,,,,,,,,,,,
50,2001,5,1,,,,,,,,,,,,,,
50,2001,5,2,,,,,,,,,,,,,,
50,2001,5,3,,,,,,,,,,,,,,
50,2001,5,4,,,,,,,,,,,,,,
50,2001,5,5,,,,,,,,,,,,,,
50,2001,5,6,,,,,,,,,,,,,,
50,2001,5,7,,,,,,,,,,,,,,
50,2001,5,8,,,,,,,,,,,,,,
50,2001,5,9,,,,,,,,,,,,,,
50,2001,5,10,,,,,,,,,,,,,,
50,2001,5,11,,,,,,,,,,,,,,
50,2001,5,12,,,,,,,,,,,,,,
