ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
40,2001,1,1,,,,,,18.0,34.0,61.0,,24.0,,8.0,,
40,2001,1,2,,,,,,8.0,32.0,44.0,,13.0,,6.0,,
40,2001,1,3,,,,,,19.0,50.0,79.0,,22.0,,7.0,,
40,2001,1,4,,,,,,13.0,42.0,62.0,,19.0,,6.0,,
40,2001,1,5,,,,,,24.0,48.0,85.0,,19.0,,7.0,,
40,2001,1,6,,,,,,15.0,38.0,61.0,,10.0,,9.0,,
40,2001,1,7,,,,,,20.0,52.0,82.0,,13.0,,14.0,,
40,2001,1,8,,,,,,76.0,70.0,187.0,,37.0,,19.0,,
40,2001,1,9,,,,,,60.0,72.0,164.0,,33.0,,16.0,,
40,2001,1,10,,,,,,58.0,59.0,147.0,,33.0,,16.0,,
40,2001,1,11,,,,,,18.0,47.0,75.0,,17.0,,9.0,,
40,2001,1,12,,,,,,36.0,64.0,120.0,,17.0,,15.0,,
40,2001,1,13,,,,,,43.0,68.0,133.0,,34.0,,18.0,,
40,2001,1,14,,,,,,76.0,71.0,187.0,,38.0,,19.0,,
40,2001,1,15,,,,,,56.0,58.0,144.0,,32.0,,15.0,,
40,2001,1,16,,,,,,20.0,47.0,78.0,,19.0,,9.0,,
40,2001,1,17,,,,,,29.0,53.0,98.0,,20.0,,9.0,,
40,2001,1,18,,,,,,16.0,51.0,75.0,,14.0,,8.0,,
40,2001,1,19,,,,,,56.0,69.0,154.0,,27.0,,21.0,,
40,2001,1,20,,,,,,74.0,77.0,190.0,,39.0,,21.0,,
40,2001,1,21,,,,,,73.0,70.0,182.0,,36.0,,19.0,,
40,2001,1,22,,,,,,90.0,77.0,215.0,,47.0,,19.0,,
40,2001,1,23,,,,,,14.0,48.0,69.0,,11.0,,8.0,,
40,2001,1,24,,,,,,12.0,40.0,59.0,,13.0,,8.0,,
40,2001,1,25,,,,,,11.0,35.0,51.0,,11.0,,7.0,,
40,2001,1,26,,,,,,13.0,41.0,61.0,,13.0,,6.0,,
40,2001,1,27,,,,,,19.0,47.0,77.0,,15.0,,8.0,,
40,2001,1,28,,,,,,5.0,25.0,33.0,,11.0,,9.0,,
40,2001,1,29,,,,,,16.0,43.0,67.0,,15.0,,13.0,,
40,2001,1,30,,,,,,156.0,101.0,340.0,,66.0,,30.0,,
40,2001,1,31,,,,,,113.0,82.0,255.0,,54.0,,28.0,,
40,2001,2,1,,,,,,73.0,64.0,175.0,,32.0,,21.0,,
40,2001,2,2,,,,,,141.0,82.0,298.0,,53.0,,28.0,,
40,2001,2,3,,,,,,85.0,73.0,204.0,,44.0,,24.0,,
40,2001,2,4,,,,,,14.0,40.0,62.0,,22.0,,12.0,,
40,2001,2,5,,,,,,31.0,56.0,104.0,,24.0,,11.0,,
40,2001,2,6,,,,,,11.0,42.0,60.0,,18.0,,12.0,,
40,2001,2,7,,,,,,16.0,44.0,68.0,,18.0,,8.0,,
40,2001,2,8,,,,,,14.0,44.0,66.0,,11.0,,10.0,,
40,2001,2,9,,,,,,27.0,48.0,90.0,,26.0,,11.0,,
40,2001,2,10,,,,,,37.0,46.0,103.0,,29.0,,9.0,,
40,2001,2,11,,,,,,70.0,54.0,162.0,,30.0,,15.0,,
40,2001,2,12,,,,,,93.0,81.0,224.0,,50.0,,20.0,,
40,2001,2,13,,,,,,72.0,77.0,188.0,,47.0,,20.0,,
40,2001,2,14,,,,,,14.0,45.0,66.0,,20.0,,10.0,,
40,2001,2,15,,,,,,11.0,43.0,60.0,,18.0,,8.0,,
40,2001,2,16,,,,,,13.0,52.0,71.0,,22.0,,10.0,,
40,2001,2,17,,,,,,25.0,65.0,104.0,,30.0,,15.0,,
40,2001,2,18,,,,,,32.0,47.0,96.0,,24.0,,13.0,,
40,2001,2,19,,,,,,28.0,51.0,93.0,,28.0,,12.0,,
