ESTACION,ANO,MES,DIA,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,SO2,TCH,TOL
54,2001,1,1,,,,,,,,,,,,,,
54,2001,1,2,,,,,,,,,,,,,,
54,2001,1,3,,,,,,,,,,,,,,
54,2001,1,4,,,,,,,,,,,,,,
54,2001,1,5,,,,,,,,,,,,,,
54,2001,1,6,,,,,,,,,,,,,,
54,2001,1,7,,,,,,,,,,,,,,
54,2001,1,8,,,,,,,,,,,,,,
54,2001,1,9,,,,,,,,,,,,,,
54,2001,1,10,,,,,,,,,,,,,,
54,2001,1,11,,,,,,,,,,,,,,
54,2001,1,12,,,,,,,,,,,,,,
54,2001,1,13,,,,,,,,,,,,,,
54,2001,1,14,,,,,,,,,,,,,,
54,2001,1,15,,,,,,,,,,,,,,
54,2001,1,16,,,,,,,,,,,,,,
54,2001,1,17,,,,,,,,,,,,,,
54,2001,1,18,,,,,,,,,,,,,,
54,2001,1,19,,,,,,,,,,,,,,
54,2001,1,20,,,,,,,,,,,,,,
54,2001,1,21,,,,,,,,,,,,,,
54,2001,1,22,,,,,,,,,,,,,,
54,2001,1,23,,,,,,,,,,,,,,
54,2001,1,24,,,,,,,,,,,,,,
54,2001,1,25,,,,,,,,,,,,,,
54,2001,1,26,,,,,,,,,,,,,,
54,2001,1,27,,,,,,,,,,,,,,
54,2001,1,28,,,,,,,,,,,,,,
54,2001,1,29,,,,,,,,,,,,,,
54,2001,1,30,,,,,,,,,,,,,,
54,2001,1,31,,,,,,,,,,,,,,
54,2001,2,1,,,,,,,,,,,,,,
54,2001,2,2,,,,,,,,,,,,,,
54,2001,2,3,,,,,,,,,,,,,,
54,2001,2,4,,,,,,,,,,,,,,
54,2001,2,5,,,,,,,,,,,,,,
54,2001,2,6,,,,,,,,,,,,,,
54,2001,2,7,,,,,,,,,,,,,,
54,2001,2,8,,,,,,,,,,,,,,
54,2001,2,9,,,,,,,,,,,,,,
54,2001,2,10,,,,,,,,,,,,,,
54,2001,2,11,,,,,,,,,,,,,,
54,2001,2,12,,,,,,,,,,,,,,
54,2001,2,13,,,,,,,,,,,,,,
54,2001,2,14,,,,,,,,,,,,,,
54,2001,2,15,,,,,,,,,,,,,,
54,2001,2,16,,,,,,,,,,,,,,
54,2001,2,17,,,,,,,,,,,,,,
54,2001,2,18,,,,,,,,,,,,,,
54,2001,2,19,,,,,,,,,,,,,,
54,2001,2,20,,,,,,,,,,,,,,
54,2001,2,21,,,,,,,,,,,,,,
54,2001,2,22,,,,,,,,,,,,,,
54,2001,2,23,,,,,,,,,,,,,,
54,2001,2,24,,,,,,,,,,,,,,
54,2001,2,25,,,,,,,,,,,,,,
54,2001,2,26,,,,,,,,,,,,,,
54,2001,2,27,,,,,,,,,,,,,,
54,2001,2,28,,,,,,,,,,,,,,
54,2001,3,1,,,,,,,,,,,,,,
54,2001,3,2,,,,,,,,,,,,,,
54,2001,3,3,,,,,,,,,,,,,,
54,2001,3,4,,,,,,,,,,,,,,
54,2001,3,5,,,,,,,,,,,,,,
54,2001,3,6,,,,,,,,,,,,,,
54,2001,3,7,,,,,,,,,,,,,,
54,2001,3,8,,,,,,,,,,,,,,
54,2001,3,9,,,,,,,,,,,,,,
54,2001,3,10,,,,,,,,,,,,,,
54,2001,3,11,,,,,,,,,,,,,,
54,2001,3,12,,,,,,,,,,,,,,
54,2001,3,13,,,,,,,,,,,,,,
54,2001,3,14,,,,,,,,,,,,,,
54,2001,3,15,,,,,,,,,,,,,,
54,2001,3,16,,,,,,,,,,,,,,
54,2001,3,17,,,,,,,,,,,,,,
54,2001,3,18,,,,,,,,,,,,,,
54,2001,3,19,,,,,,,,,,,,,,
54,2001,3,20,,,,,,,,,,,,,,
54,2001,3,21,,,,,,,,,,,,,,
54,2001,3,22,,,,,,,,,,,,,,
54,2001,3,23,,,,,,,,,,,,,,
54,2001,3,24,,,,,,,,,,,,,,
54,2001,3,25,,,,,,,,,,,,,,
54,2001,3,26,,,,,,,,,,,,,,
54,2001,3,27,,,,,,,,,,,,,,
54,2001,3,28,,,,,,,,,,,,,,
54,2001,3,29,,,,,,,,,,,,,,
54,2001,3,30,,,,,,,,,,,,,,
54,2001,3,31,,,,,,,,,,,,,,
54,2001,4,1,,,,,,,,,,,,,,
54,2001,4,2,,,,,,,,,,,,,,
54,2001,4,3,,,,,,,,,,,,,,
54,2001,4,4,,,,,,,,,,,,,,
54,2001,4,5,,,,,,,,,,,,,,
54,2001,4,6,,,,,,,,,,,,,,
54,2001,4,7,,,,,,,,,,,,,,
54,2001,4,8,,,,,,,,,,,,,,
54,2001,4,9,,,,,,,,,,,,,,
54,2001,4,10,,,,,,,,,,,,,,
54,2001,4,11,,,,,,,,,,,,,,
54,2001,4,12,,,,,,,,,,,,,,
54,2001,4,13,,,,,,,,,,,,,,
54,2001,4,14,,,,,,,,,,,,,,
54,2001,4,15,,,,,,,,,,,,,,
54,2001,4,16,,,,,,,,,,,,,,
54,2001,4,17,,,,,,,,,,,,,,
54,2001,4,18,,,,,,,,,,,,,,
54,2001,4,19,,,,,,,,,,,,,,
54,2001,4,20,,,,,,,,,,,,,,
54,2001,4,21,,,,,,,,,,,,,,
54,2001,4,22,,,,,,,,,,,,,,
54,2001,4,23,,,,,,,,,,,,,,
54,2001,4,24,,,,,,,,,,,,,,
54,2001,4,25,,,,,,,,,,,,,,
54,2001,4,26,,,,,,,,,,,,,,
54,2001,4,27,,,,,,,,,,,,,,
54,2001,4,28,,,,,,,,,,,,,,
54,2001,4,29,,,,,,,,,,,,,,
54,2001,4,30,,,,,,,,,,,,,,
54,2001,5,1,,,,,,,,,,,,,,
54,2001,5,2,,,,,,,,,,,,,,
54,2001,5,3,,,,,,,,,,,,,,
54,2001,5,4,,,,,,,,,,,,,,
54,2001,5,5,,,,,,,,,,,,,,
54,2001,5,6,,,,,,,,,,,,,,
54,2001,5,7,,,,,,,,,,,,,,
54,2001,5,8,,,,,,,,,,,,,,
54,2001,5,9,,,,,,,,,,,,,,
54,2001,5,10,,,,,,,,,,,,,,
54,2001,5,11,,,,,,,,,,,,,,
54,2001,5,12,,,,,,,,,,,,,,
54,2001,5,13,,,,,,,,,,,,,,
54,2001,5,14,,,,,,,,,,,,,,
54,2001,5,15,,,,,,,,,,,,,,
